TrialNumber,TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,version,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
32,32,0,$8.00 ,-2,$0.00 ,won,$8.00,1.5,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,version,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,0,HI- S1 --2,-0.75,$0.00 ,won,$2.00,1.5,1.5,1,1.0,0.0,0.0,5.8380475,6.0,7.8440347,8.360562,2.0059872,0.005987166,0.51652765,8.465957,0.62192184,-1.3780781,11.560781,3.0834725,3.0948238,0.01135154,11.576848,1.0012707,0.0012706569,12.578118,6.740071,12.592807,got here,14.0937605,1.5,1.5009528,0.00095282
2,2,0,$5.00 ,-3.13,$0.00 ,lost,-$3.13,1.5,1.5,1,1.0,1.0,0.0,14.108969,6.0,16.110128,16.609303,2.0011601,0.0011600701,0.49917418,16.714123,0.6039933,-1.3960067,19.827381,3.1008258,3.1132584,0.012432543,19.843302,1.000472,0.00047194402,20.843775,6.7348056,20.858927,got here,22.359833,1.5,1.5009071,0.000907058
3,3,0,$12.00 ,-9,$0.00 ,lost,-$9.00,5,1.5,1,1.0,2.0,0.0,22.374756,6.0,24.375946,25.24351,2.001191,0.001190873,0.86756235,25.34813,0.97218233,-1.0278176,31.592094,6.2324376,6.243965,0.011527348,31.610052,1.0011896,0.001189631,32.61124,10.2364855,32.625492,got here,34.126675,1.5,1.5011832,0.001183138
4,4,0,$7.81 ,0,$4.10 ,lost,$0.00,5,3,1,1.0,3.0,0.0,34.143826,6.0,36.159534,36.658703,2.015707,0.015707036,0.49917084,36.763134,0.6036015,-1.3963985,43.37787,6.600829,6.6147323,0.013903093,43.392517,1.0011253,0.001125371,44.393642,10.249815,44.40886,got here,47.409283,3.0,3.000426,0.000425988
5,5,0,$21.43 ,0,$13.29 ,won,$21.43,1.5,1.5,1,1.0,4.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,0,$8.80 ,0,$3.60 ,lost,$0.00,5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,0,$5.00 ,-1.88,$0.00 ,lost,-$1.88,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,0,$13.35 ,0,$1.32 ,lost,$0.00,1.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,0,$4.00 ,-7,$0.00 ,won,$4.00,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,0,$4.00 ,-2,$0.00 ,won,$4.00,1.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,0,$10.00 ,-3.75,$0.00 ,lost,-$3.75,5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,0,$10.00 ,-6.25,$0.00 ,won,$10.00,3,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,0,$6.00 ,-10.5,$0.00 ,lost,-$10.50,3,1.5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
