TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
48,48,$13.25 ,$0.00 ,$9.37 ,won,$13.25 ,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,49,$8.00 ,($7.00),$0.00 ,lost,($7.00),5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,50,$16.79 ,$0.00 ,$7.60 ,lost,$0.00 ,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,51,$2.00 ,($1.25),$0.00 ,lost,($1.25),1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,52,$15.28 ,$0.00 ,$8.36 ,won,$15.28 ,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,$5.00 ,($0.63),$0.00 ,won,$5.00 ,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,$9.00 ,($2.25),$0.00 ,lost,($2.25),1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,55,$10.00 ,($8.75),$0.00 ,lost,($8.75),3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,56,$15.86 ,$0.00 ,$8.07 ,lost,$0.00 ,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,57,$26.76 ,$0.00 ,$10.62 ,lost,$0.00 ,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
58,58,$8.00 ,($5.00),$0.00 ,won,$8.00 ,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
