TrialNumber,Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
37,37,0,$24.21 ,$0.00,$11.89 ,lost,$0.00,1.5,1.5,2,1.0,36.0,710.0731,6.0,712.0815,712.21484,2.0083508,0.008350791,0.13337901,712.3196,0.23808679,-1.7619132,715.7995,3.466621,3.4799361,0.013315059,715.8063,1.0011832,0.001183155,716.80743,6.734325,716.8129,got here,718.31305,1.5,1.500128,0.00012805598
38,38,0,$12.00 ,-$24.00,$0.00 ,won,$12.00,3,1.5,2,1.0,37.0,718.32764,1.0,720.3301,720.5716,2.0024157,0.002415772,0.24149792,720.67676,0.34666505,-1.653335,725.5471,4.858502,4.8703914,0.011889079,725.5537,1.0011404,0.001140341,726.5548,8.227176,726.5623,got here,728.0634,1.5,1.50109,0.0010901031
39,39,0,$2.00 ,-$2.75,$0.00 ,won,$2.00,3,5,2,1.0,38.0,728.0768,1.0,730.07764,730.4359,2.0008407,0.00084067497,0.3582679,730.54047,0.46283656,-1.5371635,735.287,4.741732,4.7465296,0.004797397,735.2923,1.0007279,0.00072793104,736.293,8.2162285,736.30084,got here,741.3015,5.0,5.000671,0.000670849
40,40,0,$9.00 ,-$13.50,$0.00 ,lost,-$13.50,1.5,3,2,1.0,39.0,741.3154,1.0,743.32336,743.6817,2.0079315,0.007931384,0.35832098,743.7864,0.46298152,-1.5370185,747.03235,3.241679,3.2459886,0.004309578,747.0383,1.0012374,0.001237411,748.03955,6.724133,748.04645,got here,751.0476,3.0,3.0011525,0.001152517
41,41,0,$5.00 ,-$4.38,$0.00 ,won,$5.00,5,1.5,2,1.0,40.0,751.0611,5.0,753.0624,753.1868,2.0013301,0.0013302381,0.12440286,753.29156,0.22918028,-1.7708197,760.2722,6.975597,6.9806333,0.005036146,760.2777,1.0012946,0.001294557,761.279,10.217953,761.2868,got here,762.7879,1.5,1.5011129,0.001112935
42,42,0,$2.00 ,-$1.75,$0.00 ,lost,-$1.75,1.5,7,2,1.0,41.0,762.80164,1.0,764.80145,765.0431,1.9998015,-0.00019848999,0.24163109,765.1482,0.3467634,-1.6532366,768.51935,3.3583689,3.371146,0.012777071,768.52637,1.0011944,0.001194343,769.5276,6.725927,769.5329,got here,776.5342,7.0,7.00129,0.00128996
43,43,0,$5.00 ,-$8.13,$0.00 ,won,$5.00,3,3,2,1.0,42.0,776.5481,1.0,778.5557,778.8966,2.0076199,0.00761984,0.34092736,779.00104,0.44534934,-1.5546507,783.7651,4.759073,4.7640247,0.004951935,783.7704,1.0009782,0.0009782331,784.77136,8.2232895,784.77893,got here,787.78015,3.0,3.0012343,0.001234294
44,44,0,$5.00 ,-$6.88,$0.00 ,won,$5.00,1.5,5,2,1.0,43.0,787.7926,1.0,789.7947,790.036,2.002037,0.002037001,0.24136156,790.14044,0.34576327,-1.6542367,793.50323,3.3586385,3.3628426,0.004204039,793.5096,1.0011737,0.001173769,794.51074,6.718142,794.5177,got here,799.51886,5.0,5.0011396,0.001139849
45,45,0,$4.00 ,-$6.00,$0.00 ,lost,-$6.00,3,1.5,2,1.0,44.0,799.5324,1.0,801.53375,801.78394,2.0013552,0.001355254,0.25016877,801.8887,0.35493886,-1.6450611,806.7497,4.849831,4.861,0.011168771,806.7569,1.0012795,0.001279478,807.7582,8.225779,807.76373,got here,809.26447,1.5,1.5007234,0.000723382
46,46,0,$9.82 ,$0.00,$3.09 ,lost,$0.00,1.5,3,2,1.0,45.0,809.27936,5.0,811.2802,811.4139,2.0008318,0.000831792,0.13366376,811.5184,0.23815534,-1.7618446,814.9896,3.4663363,3.4712598,0.004923672,814.9958,1.000223,0.00022303802,815.99603,6.7166424,816.0043,got here,819.00446,3.0,3.0001605,0.00016055399
47,47,0,$8.49 ,$0.00,$3.76 ,won,$8.49,1.5,1.5,2,1.0,46.0,819.018,1.0,821.02893,821.27856,2.0109491,0.010949115,0.24966463,821.3839,0.35497007,-1.6450299,824.7456,3.3503354,3.3616993,0.011363959,824.7515,1.0012113,0.001211335,825.75275,6.734744,825.7599,got here,827.26117,1.5,1.5012835,0.001283521
48,48,0,$13.25 ,$0.00,$9.37 ,won,$13.25,1.5,7,2,1.0,47.0,827.2748,6.0,829.2753,829.5171,2.0005372,0.000537057,0.24176812,829.6217,0.34640288,-1.6535971,832.99225,3.3582318,3.370514,0.012281939,832.9986,1.0012416,0.001241593,833.9998,6.725048,834.00696,got here,841.0082,7.0,7.001172,0.001172179
49,49,0,$8.00 ,-$7.00,$0.00 ,lost,-$7.00,5,1.5,2,1.0,48.0,841.02264,1.0,843.0295,843.2709,2.0068402,0.006840214,0.2413723,843.37573,0.34627444,-1.6537256,850.2383,6.858628,6.8625164,0.003888603,850.24524,1.0005199,0.000519836,851.2458,10.223146,851.25323,got here,852.7534,1.5,1.5001718,0.00017175399
50,50,0,$16.79 ,$0.00,$7.60 ,lost,$0.00,3,1.5,2,1.0,49.0,852.7683,6.0,854.76855,855.01056,2.0002437,0.00024368998,0.24199834,855.11554,0.34699982,-1.6530001,859.98596,4.8580017,4.870425,0.012423776,859.99207,1.0005676,0.000567597,860.9926,8.224303,861.0006,got here,862.5019,1.5,1.5012798,0.001279833
51,51,0,$2.00 ,-$1.25,$0.00 ,lost,-$1.25,1.5,7,2,1.0,50.0,862.5168,1.0,864.5244,864.7658,2.0076656,0.007665681,0.2413833,864.87036,0.34590605,-1.654094,868.2333,3.3586166,3.3629575,0.004340696,868.2391,1.0003308,0.000330844,869.2394,6.722636,869.24744,got here,876.24866,7.0,7.0012326,0.001232665
52,52,0,$15.28 ,$0.00,$8.36 ,won,$15.28,3,1.5,2,1.0,51.0,876.26404,5.0,878.2699,878.50275,2.0058222,0.005822236,0.23289001,878.6075,0.3375944,-1.6624056,883.47943,4.86711,4.871977,0.004866981,883.48486,1.0011256,0.001125625,884.486,8.221954,884.4936,got here,885.99384,1.5,1.5002503,0.000250335
53,53,0,$5.00 ,-$0.63,$0.00 ,won,$5.00,1.5,7,2,1.0,52.0,886.009,6.0,888.00885,888.25006,1.9998889,-0.00011105,0.24120513,888.3549,0.34605142,-1.6539485,891.7178,3.358795,3.3628585,0.004063711,891.7252,1.0009624,0.000962348,892.7262,6.717221,892.7324,got here,899.7336,7.0,7.0011916,0.001191771
54,54,0,$9.00 ,-$2.25,$0.00 ,lost,-$2.25,1.5,1.5,2,1.0,53.0,899.7473,1.0,901.74805,901.9893,2.0007226,0.000722555,0.24131344,902.09424,0.3462003,-1.6537997,905.4638,3.3586864,3.3696067,0.010920254,905.4713,1.001286,0.0012860061,906.4726,6.725294,906.47955,got here,907.9804,1.5,1.5008472,0.000847174
55,55,0,$10.00 ,-$8.75,$0.00 ,lost,-$8.75,3,3,2,1.0,54.0,907.9947,5.0,909.99493,910.4449,2.0002122,0.000212198,0.44998527,910.55054,0.5556369,-1.4443631,915.21326,4.650015,4.6626997,0.012684838,915.21857,1.0012797,0.001279716,916.21985,8.225158,916.2272,got here,919.22833,3.0,3.0011637,0.001163729
56,56,0,$15.86 ,$0.00,$8.07 ,lost,$0.00,3,3,2,1.0,55.0,919.2434,5.0,921.2614,921.5007,2.018039,0.018038927,0.23925935,921.6053,0.34385306,-1.6561469,926.4703,4.8607407,4.865017,0.004276159,926.47424,1.0011925,0.001192391,927.47546,8.232069,927.48096,got here,930.4823,3.0,3.0013602,0.001360211
57,57,0,$26.76 ,$0.00,$10.62 ,lost,$0.00,5,1.5,2,1.0,56.0,930.49603,6.0,932.49664,932.7383,2.0006018,0.000601655,0.24162911,932.8432,0.3465524,-1.6534476,939.714,6.858371,6.870753,0.012381965,939.72046,1.0012413,0.001241346,940.7217,10.225653,940.7289,got here,942.22955,1.5,1.500683,0.000682916
58,58,0,$8.00 ,-$5.00,$0.00 ,won,$8.00,1.5,5,2,1.0,57.0,942.2446,1.0,944.2524,944.4939,2.0077739,0.00777378,0.2415152,944.59906,0.3466453,-1.6533548,947.9691,3.3584847,3.3701088,0.011623966,947.9762,1.0004848,0.00048487098,948.9767,6.7320533,948.9844,got here,953.98566,5.0,5.001305,0.00130509
59,59,0,$7.36 ,$0.00,$4.32 ,won,$7.36,1.5,5,2,1.0,58.0,954.00006,6.0,956.00824,956.3578,2.0081334,0.0081334505,0.3495657,956.46216,0.45391625,-1.5460838,959.7178,3.2504344,3.2556458,0.005211565,959.7233,1.0004752,0.000475125,960.72375,6.7236915,960.7313,got here,965.7324,5.0,5.0011244,0.001124471
60,60,0,$12.00 ,-$3.00,$0.00 ,lost,-$3.00,1.5,5,2,1.0,59.0,965.7475,6.0,967.7542,968.0951,2.0067012,0.006701116,0.3409254,968.19965,0.44546008,-1.5545399,971.4638,3.2590747,3.264125,0.005050397,971.4705,1.0011427,0.001142747,972.4717,6.7241774,972.4771,got here,977.47736,5.0,5.0002337,0.000233722
61,61,0,$9.00 ,-$15.75,$0.00 ,won,$9.00,1.5,3,2,1.0,60.0,977.491,1.0,979.49335,979.73413,2.0023265,0.0023265341,0.24079302,979.8388,0.34548247,-1.6545175,983.20215,3.359207,3.3633244,0.004117452,983.2086,1.000256,0.000255893,984.20886,6.717831,984.2164,got here,987.2169,3.0,3.0004902,0.000490162
62,62,0,$12.00 ,-$15.00,$0.00 ,lost,-$15.00,1.5,1.5,2,1.0,61.0,987.23065,1.0,989.2317,989.46484,2.0010228,0.0010227531,0.23315589,989.57,0.33835632,-1.6616437,992.9488,3.3668442,3.378755,0.011910879,992.9552,1.0012469,0.001246913,993.9565,6.7258315,993.96326,got here,995.46356,1.5,1.500291,0.00029104602
63,63,0,$8.00 ,-$1.33,$0.00 ,won,$8.00,1.5,3,2,1.0,62.0,995.47723,6.0,997.47906,997.82886,2.0018492,0.001849153,0.34974134,997.9334,0.4543237,-1.5456764,1001.1884,3.2502587,3.2550185,0.004759891,1001.1959,1.0012028,0.001202865,1002.19714,6.719901,1002.2023,got here,1005.20294,3.0,3.0006685,0.00066862395
64,64,0,$9.00 ,-$0.75,$0.00 ,lost,-$0.75,5,1.5,2,1.0,63.0,1005.21686,6.0,1007.2185,1007.4593,2.0016458,0.001645688,0.2408208,1007.5642,0.34572044,-1.6542796,1014.4366,6.859179,6.872397,0.013217647,1014.4435,1.0007702,0.000770263,1015.4443,10.227412,1015.4498,last trial of block,1020.95013,5.5,5.5002913,0.00029140798
65,65,0,$22.47 ,$0.00,$12.76 ,won,$22.47,1.5,3,3,1.0,64.0,1080.0996,5.0,1082.1075,1082.3473,2.007887,0.007886772,0.23981671,1082.4525,0.34502605,-1.654974,1085.8251,3.3601832,3.3725312,0.012347941,1085.8304,1.0010297,0.001029702,1086.8315,6.731902,1086.8392,got here,1089.8403,3.0,3.0011969,0.001196881
66,66,0,$9.00 ,-$9.00,$0.00 ,won,$9.00,3,1.5,3,1.0,65.0,1089.8551,1.0,1091.8552,1092.0967,2.0002055,0.000205494,0.24139774,1092.2015,0.34629506,-1.653705,1097.072,4.858602,4.8704257,0.011823389,1097.0782,1.0007852,0.000785194,1098.079,8.223976,1098.085,got here,1099.5851,1.5,1.5001619,0.00016185801
67,67,0,$23.60 ,$0.00,$12.20 ,lost,$0.00,5,7,3,1.0,66.0,1099.6005,6.0,1101.611,1101.8595,2.0105858,0.010585777,0.24853837,1101.9656,0.35453564,-1.6454644,1108.8289,6.8514614,6.8632956,0.011834164,1108.8406,1.0009888,0.00098887,1109.8417,10.241219,1109.8494,got here,1116.8506,7.0,7.0011835,0.001183444
68,68,0,$6.00 ,-$3.00,$0.00 ,won,$6.00,1.5,3,3,1.0,67.0,1116.8656,1.0,1118.8715,1119.113,2.0059037,0.005903664,0.24156508,1119.2181,0.34669393,-1.653306,1122.5898,3.358435,3.3716438,0.0132088475,1122.5947,1.0013033,0.001303268,1123.5961,6.730445,1123.603,got here,1126.6042,3.0,3.0012023,0.00120227
69,69,0,$25.76 ,$0.00,$11.12 ,lost,$0.00,1.5,3,3,1.0,68.0,1126.6188,6.0,1128.619,1128.8774,2.0002468,0.00024676602,0.25840133,1128.9819,0.3629149,-1.6370851,1132.3368,3.3415987,3.3548017,0.013202916,1132.3425,1.0002633,0.00026333798,1133.3428,6.723959,1133.3503,got here,1136.3507,3.0,3.0002975,0.00029755002
70,70,0,$5.00 ,-$5.00,$0.00 ,lost,-$5.00,1.5,5,3,1.0,69.0,1136.3652,5.0,1138.3665,1138.5073,2.0011733,0.001173247,0.14082968,1138.6118,0.24530071,-1.7546992,1142.0758,3.4591703,3.4639957,0.004825402,1142.0824,1.000232,0.00023201,1143.0826,6.717306,1143.0897,got here,1148.0908,5.0,5.001161,0.001160992
71,71,0,$18.65 ,$0.00,$6.68 ,lost,$0.00,1.5,3,3,1.0,70.0,1148.1055,6.0,1150.1055,1150.3468,1.9999974,-2.6419875e-06,0.24136537,1150.4515,0.34614143,-1.6538585,1153.815,3.3586347,3.363343,0.004708272,1153.8204,1.0011969,0.001196825,1154.8217,6.7162433,1154.8282,got here,1157.8284,3.0,3.000104,0.000103923
