Subject,SubName,Condition,SNS,SubTrial,Sex,Age,TrialType,Response,RT,RealOutcome,ScheduledOutcome,GambleAmount,Amount1,Amount2,Certain,Include,IRI_Total,IRI_EC,IRI_PT,IRI_distress,IRI_fantasy,MPSS_Total,MPSS_friend,RSE
1,153,0,0,25,1,19,0,0,537,3,0,0,28,0,13,1,,,,,,,,
1,153,0,0,26,1,19,1,,,,1,10,10,-6.25,0,1,,,,,,,,
1,153,0,0,27,1,19,0,1,604,0,0,0,12,0,5,1,,,,,,,,
1,153,0,0,28,1,19,1,1,586,0,0,-12,12,-12,0,1,,,,,,,,
1,153,0,0,29,1,19,1,0,566,3,1,4,4,-6,0,1,,,,,,,,
1,153,0,0,30,1,19,1,0,316,3,1,6,6,-7.5,0,1,,,,,,,,
1,153,-1,1,1,1,19,1,0,516,3,1,8,8,-9,0,1,,,,,,,,
1,153,-1,1,2,1,19,1,1,226,0,0,-3.75,2,-3.75,0,1,,,,,,,,
1,153,-1,1,3,1,19,0,1,407,1,1,12,12,0,4,1,,,,,,,,
1,153,-1,1,4,1,19,0,0,525,3,0,0,22,0,13,1,,,,,,,,
1,153,-1,1,5,1,19,1,1,819,0,0,-4.38,5,-4.38,0,1,,,,,,,,
1,153,-1,1,6,1,19,1,1,744,0,0,-18.75,10,-18.75,0,1,,,,,,,,
1,153,-1,1,7,1,19,1,0,398,3,1,9,9,-9,0,1,,,,,,,,
1,153,-1,1,8,1,19,1,1,515,0,0,-1.25,2,-1.25,0,1,,,,,,,,
1,153,-1,1,9,1,19,1,1,281,1,1,4,4,-1,0,1,,,,,,,,
1,153,-1,1,10,1,19,1,0,414,3,0,-13,8,-13,0,1,,,,,,,,
1,153,-1,1,11,1,19,1,1,324,1,1,8,8,-2,0,1,,,,,,,,
1,153,-1,1,12,1,19,1,1,578,0,0,-12,6,-12,0,1,,,,,,,,
1,153,-1,1,13,1,19,1,,,,0,-9,12,-9,0,1,,,,,,,,
1,153,-1,1,14,1,19,1,,,,1,6,6,-9,0,1,,,,,,,,
1,153,-1,1,15,1,19,0,0,819,3,1,3.25,3.25,0,1,1,,,,,,,,
1,153,-1,1,16,1,19,0,0,1353,3,1,7,7,0,3,1,,,,,,,,
1,153,-1,1,17,1,19,1,1,462,0,0,-7,8,-7,0,1,,,,,,,,
1,153,-1,1,18,1,19,0,1,1036,1,1,25,25,0,9,1,,,,,,,,
